iter	Passed	Remaining
218	714	1242
219	716	1238
220	719	1233
221	722	1230
222	726	1227
223	728	1223
224	732	1220
225	735	1217
226	740	1216
227	744	1213
228	747	1210
229	750	1206
230	752	1202
231	757	1201
232	760	1197
233	762	1192
234	765	1188
235	768	1184
236	771	1181
237	774	1177
238	777	1174
239	780	1170
240	784	1169
241	787	1165
242	793	1165
243	798	1165
244	801	1161
245	806	1159
246	808	1155
247	811	1151
248	814	1147
249	816	1143
250	819	1139
251	824	1138
252	827	1134
253	831	1132
254	833	1128
255	836	1124
256	839	1120
257	844	1118
258	846	1115
259	849	1110
260	852	1106
261	855	1103
262	858	1100
263	862	1097
264	864	1093
265	867	1088
266	869	1084
267	872	1080
268	875	1076
269	878	1073
270	881	1070
271	885	1067
272	888	1064
273	891	1061
274	895	1057
275	899	1055
276	901	1051
277	904	1047
278	906	1043
279	909	1039
280	913	1037
281	916	1032
282	918	1028
283	921	1024
284	924	1021
285	928	1019
286	931	1015
287	933	1011
288	936	1007
289	939	1003
290	941	1000
291	944	996
292	949	994
293	954	993
294	957	989
295	960	986
296	962	982
297	965	978
298	967	974
299	970	970
300	974	967
301	977	964
302	979	960
303	982	956
304	986	954
305	989	950
306	991	946
307	994	943
308	1000	941
309	1004	939
310	1006	935
311	1009	931
312	1011	927
313	1014	924
314	1019	922
315	1022	918
316	1024	914
317	1027	911
318	1030	907
319	1034	905
320	1038	902
321	1041	899
322	1044	895
323	1048	892
324	1052	890
325	1055	886
326	1057	883
327	1060	879
328	1062	875
329	1067	873
330	1070	870
331	1075	867
332	1077	864
333	1081	860
334	1086	859
335	1089	855
336	1094	853
337	1096	850
338	1102	848
339	1104	844
340	1107	841
341	1109	837
342	1112	833
343	1114	829
344	1117	825
345	1121	823
346	1124	819
347	1126	815
348	1129	812
349	1131	808
350	1134	804
351	1140	803
352	1143	800
353	1148	798
354	1152	795
355	1156	792
356	1158	788
357	1161	784
358	1163	781
359	1166	777
360	1170	774
361	1173	771
362	1176	768
363	1179	764
364	1182	761
365	1186	758
366	1189	755
367	1192	751
368	1194	747
369	1199	745
370	1202	742
371	1205	738
372	1208	735
373	1210	731
374	1213	727
375	1217	725
376	1219	721
377	1222	717
378	1225	714
379	1228	711
380	1231	707
381	1237	705
382	1241	703
383	1244	700
384	1249	697
385	1252	694
386	1256	691
387	1259	688
388	1262	684
389	1266	681
390	1268	678
391	1271	674
392	1273	670
393	1276	667
394	1279	663
395	1284	661
396	1286	658
397	1289	654
398	1291	650
399	1294	647
400	1299	644
401	1302	641
402	1305	638
403	1307	634
404	1310	630
405	1313	627
406	1316	624
407	1318	620
408	1322	617
409	1325	614
410	1328	610
411	1331	607
412	1334	604
413	1338	601
414	1340	597
415	1343	594
416	1346	590
417	1348	587
418	1351	584
419	1355	581
420	1358	577
421	1361	574
422	1363	570
423	1366	567
424	1371	564
425	1375	561
426	1380	559
427	1385	556
428	1388	553
429	1392	550
430	1395	547
431	1397	543
432	1400	540
433	1402	536
434	1406	533
435	1411	530
436	1413	527
437	1416	523
438	1418	520
439	1421	517
440	1426	514
441	1428	510
442	1431	507
443	1433	503
444	1436	500
445	1439	496
446	1443	494
447	1445	490
448	1448	487
449	1450	483
450	1453	480
451	1456	476
452	1459	473
453	1462	470
454	1465	467
455	1468	463
456	1470	460
